SIRUTA,uat_name,county_code,county_name,PERC_PSD,TOATE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANȚA PENTRU UNIREA ROMÂNILOR,UNIUNEA SALVAȚI ROMÂNIA,PARTIDUL NAȚIONAL LIBERAL,PARTIDUL SOCIAL DEMOCRAT,PARTIDUL OAMENILOR TINERI,PARTIDUL NOUA ROMÂNIE,PARTIDUL S.O.S. ROMÂNIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ROMÂNIA ÎN ACȚIUNE,PARTIDUL SOCIAL DEMOCRAT UNIT,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,Populatie_2023,Populatie_2007,NOTA FINALA MATEMATICA,MEDIA,MEDIA V-VIII,T,M,F,Y_LT15,Y_1564,Y_GE65,EMP,NAT,EU_OTH,OTH,SAME,CHG_IN,CHG_OUT
58393,MĂNĂSTIRENI,CJ,CLUJ,0.298059965,567,98,118,27,67,169,36,0,35,3,4,2,6,2,1294,1703,6.49,6.322,9.276,1199,581,618,120,685,394,384,1175,7,17,1166,25,8
58464,MĂRGĂU,CJ,CLUJ,0.230650155,646,4,115,36,252,149,45,2,36,4,0,0,1,2,1495,1759,5.65,5.98,8.834375,1364,691,673,195,821,348,408,1353,3,8,1335,25,4
58534,MĂRIŞEL,CJ,CLUJ,0.145985401,822,5,147,24,436,120,50,3,29,5,1,0,1,1,1441,1645,5.679166667,5.845,8.808333333,1488,790,698,213,970,305,553,1469,4,15,1470,13,5
58552,MINTIU GHERLII,CJ,CLUJ,0.274573517,1231,18,363,80,194,338,98,2,114,6,6,5,6,1,3800,3859,5.05,5.565,8.58,3501,1784,1717,545,2147,809,1382,3466,22,13,3414,50,37
58623,MOCIU,CJ,CLUJ,0.150865622,1213,144,252,61,362,183,66,0,61,64,6,2,9,3,3152,3569,5.886363636,6.501818182,8.940909091,3302,1649,1653,483,2028,791,1271,3273,26,3,3257,38,7
58721,MOLDOVENEŞTI,CJ,CLUJ,0.067064083,1342,726,218,71,62,90,79,3,83,4,2,0,3,1,3198,3482,4.872222222,5.978888889,8.358181818,3303,1612,1691,478,2025,800,1231,3258,35,10,3180,94,29
58794,PĂLATCA,CJ,CLUJ,0.130044843,446,74,79,7,182,58,18,1,19,3,1,2,2,0,1000,1325,4.404166667,4.989166667,9.078333333,1125,568,557,163,583,379,365,1093,16,16,1100,17,8
58856,PANTICEU,CJ,CLUJ,0.099611902,773,14,109,43,450,77,22,3,47,1,0,2,5,0,1681,1842,5.171428571,5.621428571,9.262857143,1668,848,820,358,918,392,438,1617,23,28,1629,30,9
58918,PETREŞTII DE JOS,CJ,CLUJ,0.180869565,575,20,212,72,87,104,31,0,43,0,0,0,5,1,1436,1792,4.71875,5.1825,8.68625,1416,702,714,174,809,433,428,1381,9,26,1399,14,3
58990,PLOSCOŞ,CJ,CLUJ,0.420289855,276,2,69,10,39,116,22,0,13,2,0,0,3,0,610,752,4.8,5.72,8.11,536,281,255,47,318,171,170,520,4,12,530,5,1
59041,POIENI,CJ,CLUJ,0.263365222,1777,7,442,129,430,468,138,5,123,11,2,4,13,5,4537,5655,5.611111111,5.656296296,8.569259259,4365,2160,2205,521,2693,1151,1603,4297,21,47,4292,53,20
59130,RECEA-CRISTUR,CJ,CLUJ,0.103448276,841,7,87,27,562,87,37,0,26,6,1,0,1,0,1330,1531,,,,1453,724,729,315,734,404,362,1432,14,7,1412,28,13
59238,RIŞCA,CJ,CLUJ,0.457627119,531,5,102,30,68,243,44,0,27,2,0,3,4,3,1288,1775,6.2,7.36,9.68,1451,705,746,129,806,516,470,1431,7,13,1434,13,4
59283,SĂCUIEU,CJ,CLUJ,0.136659436,461,3,138,17,169,63,43,1,22,2,1,0,2,0,1374,1645,5.17,5.734,7.239166667,1369,671,698,221,816,332,321,1350,10,9,1290,29,50
59327,SĂVĂDISLA,CJ,CLUJ,0.079693832,2221,1235,289,103,219,177,95,0,86,9,1,3,3,1,4105,4184,6.358333333,7.055,9.174166667,4042,1959,2083,547,2563,932,1663,4002,27,13,3915,100,27
59416,SIC,CJ,CLUJ,0.009466437,1162,1098,11,14,10,11,3,2,2,5,2,3,1,0,2200,2632,6.163636364,6.929090909,8.863333333,2235,1084,1151,263,1357,615,800,2223,9,3,2206,25,4
